index,circuitId,name,country,lat,lng,continent
1,2,Sepang International Circuit,Malaysia,2.76083,101.738,Asia
2,3,Bahrain International Circuit,Bahrain,26.0325,50.5106,Asia
4,5,Istanbul Park,Turkey,40.9517,29.405,Asia
14,15,Marina Bay Street Circuit,Singapore,1.2914,103.864,Asia
15,16,Fuji Speedway,Japan,35.3717,138.927,Asia
16,17,Shanghai International Circuit,China,31.3389,121.22,Asia
21,22,Suzuka Circuit,Japan,34.8431,136.541,Asia
23,24,Yas Marina Circuit,UAE,24.4672,54.6031,Asia
27,28,Okayama International Circuit,Japan,34.915,134.221,Asia
67,68,Buddh International Circuit,India,28.3487,77.5331,Asia
71,73,Baku City Circuit,Azerbaijan,40.3725,49.8533,Asia
74,77,Jeddah Corniche Circuit,Saudi Arabia,21.6319,39.1044,Asia
75,78,Losail International Circuit,Qatar,25.49,51.4542,Asia
