index,circuitId,name,country,lat,lng,continent
3,4,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,Europe
5,6,Circuit de Monaco,Monaco,43.7347,7.42056,Europe
7,8,Circuit de Nevers Magny-Cours,France,46.8642,3.16361,Europe
8,9,Silverstone Circuit,UK,52.0786,-1.01694,Europe
9,10,Hockenheimring,Germany,49.3278,8.56583,Europe
10,11,Hungaroring,Hungary,47.5789,19.2486,Europe
11,12,Valencia Street Circuit,Spain,39.4589,-0.331667,Europe
12,13,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139,Europe
13,14,Autodromo Nazionale di Monza,Italy,45.6156,9.28111,Europe
19,20,Nürburgring,Germany,50.3356,6.9475,Europe
20,21,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,Europe
25,26,Circuito de Jerez,Spain,36.7083,-6.03417,Europe
26,27,Autódromo do Estoril,Portugal,38.7506,-9.39417,Europe
30,31,Donington Park,UK,52.8306,-1.37528,Europe
33,34,Circuit Paul Ricard,France,43.2506,5.79167,Europe
37,38,Brands Hatch,UK,51.3569,0.263056,Europe
38,39,Circuit Park Zandvoort,Netherlands,52.3888,4.54092,Europe
39,40,Zolder,Belgium,50.9894,5.25694,Europe
40,41,Dijon-Prenois,France,47.3625,4.89913,Europe
44,45,Jarama,Spain,40.6171,-3.58558,Europe
46,47,Scandinavian Raceway,Sweden,57.2653,13.6042,Europe
48,49,Montjuïc,Spain,41.3664,2.15167,Europe
49,50,Nivelles-Baulers,Belgium,50.6211,4.32694,Europe
50,51,Charade Circuit,France,45.7472,3.03889,Europe
52,53,Rouen-Les-Essarts,France,49.3306,1.00458,Europe
53,54,Le Mans,France,47.95,0.224231,Europe
54,55,Reims-Gueux,France,49.2542,3.93083,Europe
56,57,Zeltweg,Austria,47.2039,14.7478,Europe
57,58,Aintree,UK,53.4769,-2.94056,Europe
58,59,Circuito da Boavista,Portugal,41.1705,-8.67325,Europe
60,61,AVUS,Germany,52.4806,13.2514,Europe
61,62,Monsanto Park Circuit,Portugal,38.7197,-9.20306,Europe
64,65,Pescara Circuit,Italy,42.475,14.1508,Europe
65,66,Circuit Bremgarten,Switzerland,46.9589,7.40194,Europe
66,67,Circuit de Pedralbes,Spain,41.3903,2.11667,Europe
69,70,Red Bull Ring,Austria,47.2197,14.7647,Europe
70,71,Sochi Autodrom,Russia,43.4057,39.9578,Europe
72,75,Autódromo Internacional do Algarve,Portugal,37.227,-8.6267,Europe
73,76,Autodromo Internazionale del Mugello,Italy,43.9975,11.3719,Europe
