raceId,year,name,driverId,constructorId,fastestLapTime,fastestLapSpeed,stringTime,FullName
97.0,2004.0,Canadian Grand Prix,22.0,6.0,1:13.622,213.246,113622.0,Rubens Barrichello
98.0,2004.0,United States Grand Prix,22.0,6.0,1:10.399,214.366,110399.0,Rubens Barrichello
104.0,2004.0,Italian Grand Prix,22.0,6.0,1:21.046,257.32,121046.0,Rubens Barrichello
106.0,2004.0,Japanese Grand Prix,22.0,6.0,1:32.730,225.441,132730.0,Rubens Barrichello
3.0,2009.0,Chinese Grand Prix,22.0,23.0,1:52.592,174.289,152592.0,Rubens Barrichello
5.0,2009.0,Spanish Grand Prix,22.0,23.0,1:22.762,202.484,122762.0,Rubens Barrichello
91.0,2004.0,Malaysian Grand Prix,31.0,3.0,1:34.223,211.782,134223.0,Juan Pablo Montoya
107.0,2004.0,Brazilian Grand Prix,31.0,3.0,1:11.473,217.038,111473.0,Juan Pablo Montoya
84.0,2005.0,Turkish Grand Prix,31.0,1.0,1:24.770,226.693,124770.0,Juan Pablo Montoya
92.0,2004.0,Bahrain Grand Prix,30.0,6.0,1:30.252,216.074,130252.0,Michael Schumacher
93.0,2004.0,San Marino Grand Prix,30.0,6.0,1:20.411,220.85,120411.0,Michael Schumacher
94.0,2004.0,Spanish Grand Prix,30.0,6.0,1:17.450,215.07,117450.0,Michael Schumacher
95.0,2004.0,Monaco Grand Prix,30.0,6.0,1:14.439,161.528,114439.0,Michael Schumacher
96.0,2004.0,European Grand Prix,30.0,6.0,1:29.468,207.144,129468.0,Michael Schumacher
99.0,2004.0,French Grand Prix,30.0,6.0,1:15.377,210.669,115377.0,Michael Schumacher
90.0,2004.0,Australian Grand Prix,30.0,6.0,1:24.125,226.933,124125.0,Michael Schumacher
102.0,2004.0,Hungarian Grand Prix,30.0,6.0,1:19.071,199.461,119071.0,Michael Schumacher
105.0,2004.0,Chinese Grand Prix,30.0,6.0,1:32.238,212.749,132238.0,Michael Schumacher
100.0,2004.0,British Grand Prix,30.0,6.0,1:18.739,235.049,118739.0,Michael Schumacher
74.0,2005.0,San Marino Grand Prix,30.0,6.0,1:21.858,216.946,121858.0,Michael Schumacher
76.0,2005.0,Monaco Grand Prix,30.0,6.0,1:15.842,158.54,115842.0,Michael Schumacher
79.0,2005.0,United States Grand Prix,30.0,6.0,1:11.497,211.074,111497.0,Michael Schumacher
57.0,2006.0,European Grand Prix,30.0,6.0,1:32.099,201.226,132099.0,Michael Schumacher
